85
0.0000	0.0149990	-0.018613
0.0005	0.0149908	-0.015326
0.0010	0.0149826	-0.018656
0.0015	0.0149714	-0.026675
0.0020	0.0149553	-0.038019
0.0025	0.0149330	-0.051752
0.0030	0.0149033	-0.067263
0.0035	0.0148655	-0.084170
0.0040	0.0148189	-0.102257
0.0045	0.0147631	-0.121411
0.0050	0.0146974	-0.141584
0.0055	0.0146213	-0.162759
0.0060	0.0145344	-0.184929
0.0065	0.0144362	-0.208077
0.0070	0.0143262	-0.232173
0.0075	0.0142039	-0.257163
0.0080	0.0140689	-0.282971
0.0085	0.0139208	-0.309497
0.0090	0.0137593	-0.336624
0.0095	0.0135841	-0.364217
0.0100	0.0133950	-0.392130
0.0105	0.0131919	-0.420208
0.0110	0.0129748	-0.448291
0.0115	0.0127437	-0.476218
0.0120	0.0124987	-0.503830
0.0125	0.0122399	-0.530966
0.0130	0.0119678	-0.557470
0.0135	0.0116826	-0.583189
0.0140	0.0113848	-0.607968
0.0145	0.0110748	-0.631653
0.0150	0.0107533	-0.654089
0.0155	0.0104210	-0.675113
0.0160	0.0100785	-0.694558
0.0165	0.0097267	-0.712248
0.0170	0.0093665	-0.727995
0.0175	0.0089990	-0.741603
0.0180	0.0086253	-0.752861
0.0185	0.0082466	-0.761549
0.0190	0.0078642	-0.767436
0.0195	0.0074797	-0.770287
0.0200	0.0070945	-0.769857
0.0205	0.0067104	-0.765904
0.0210	0.0063292	-0.758188
0.0215	0.0059529	-0.746475
0.0220	0.0055835	-0.730542
0.0225	0.0052231	-0.710176
0.0230	0.0048741	-0.685181
0.0235	0.0045387	-0.655370
0.0240	0.0042195	-0.620562
0.0245	0.0039190	-0.580574
0.0250	0.0036398	-0.535200
0.0255	0.0033848	-0.484192
0.0260	0.0031566	-0.427226
0.0265	0.0029586	-0.363857
0.0270	0.0027940	-0.293465
0.0275	0.0026664	-0.215181
0.0280	0.0025803	-0.127796
0.0285	0.0025404	-0.029655
0.02900	0.002511	0.081393
0.02950	0.002571	0.149921
0.03000	0.002653	0.173608
0.03050	0.002742	0.178457
0.03100	0.002831	0.177259
0.03150	0.002919	0.175402
0.03200	0.003006	0.174530
0.03250	0.003094	0.174678
0.03300	0.003181	0.175399
0.03350	0.003269	0.176255
0.03400	0.003357	0.176955
0.03450	0.003446	0.177349
0.03500	0.003535	0.177376
0.03550	0.003623	0.177034
0.03600	0.003712	0.176394
0.03650	0.003800	0.175622
0.03700	0.003887	0.174998
0.03750	0.003975	0.174877
0.03800	0.004062	0.175586
0.03850	0.004151	0.177248
0.03900	0.004240	0.179593
0.03950	0.004330	0.181849
0.04000	0.004421	0.182893
0.04050	0.004513	0.181917
0.04100	0.004603	0.179971
0.04150	0.004693	0.182858
0.04200	0.004789	0.205976

